URL,Date,News_title,News_text
https://www.yahoo.com/news/american-apparel-welcomed-employees-vibrator-223647281.html,2025-07-09 04:30:00,American Apparel Welcomed New Employees With a Vibrator,"Before its infamous collapse,American Apparelwas a cultural force of the mid-2000s. The clothes were colorful, the ads were provocative, and the brand marketed itself as progressive with its proud motto: “Ethically Made, Sweatshop Free.”

But behind the scenes, beneath the indie sleaze and moral posturing, the company was quietly imploding. Now, thanks toNetflix’snew documentary anthologyTrainwreck, people finally have an inside look at what brought this once billion-dollar corporation to its knees.

Here are the most shocking revelations fromThe Cult of American Apparel:

FounderDov Charneywasn’t just building a brand—he was creating a look.

Former employees say they were hired on the spot simply because of their appearance: “I’m tall and skinny,” said one. Another claimed their “hipster meets bike messenger” style got them hired. In some cases, people with no fashion background were placed in senior roles.

Yes, it’s true.

New hires reportedly received Hitachi wand vibrators as part of their employee welcome kits.

A safe working environment? Not exactly American Apparel’s thing.

Charney didn’t just have a proclivity for sexual perversion; He also loved verbally abusing his staff!

Every week, he would hold mandatory company wide calls, during which he nominated a “fool of the week”—an employee who he believed “screwed him over.”

The whole thing was basically an exercise in ritualistic shaming.

Former American Apparel employees claim that they worked insane hours.

“On one two-week period, on top of the 80 hours that I worked, there was another 120-something hours of overtime I clocked,” Carson, one of the documentary’s subjects, said.

Charney reportedly treated Robert Greene’sThe 48 Laws of Powerlike gospel.

The book outlines how to manipulate and dominate in business and life, which people claim heavily influenced Charney’s leadership style.

When the company went public in 2007, he even appointed Greene to the board

By 2014,several womenhad accused Charney of sexual harassment. However, many employees were bound by contracts that funneled complaints into private arbitration, shielding the company from public lawsuits.

The Civil rights attorneyToni Jaramilla, who was featured in the documentary, explained: “It started with one woman, then another. In doing our due diligence, we found more who had experienced the same thing.”

Following a formal investigation, Charney was ousted for sexual harassment, discrimination, and misuse of company funds.

Today, American Apparel lives on in name only. It exists as a fully online store owned by Canadian manufacturer Gildan Activewear. But the brand’s cultural relevancy has long vanished, and along with it, so too has the “cult” that once surrounded it."
https://www.yahoo.com/news/gaza-authorities-suspend-key-services-192634283.html,2025-07-13 20:30:00,Gaza authorities suspend key services due to Israeli fuel blockade,"A fuel crisis in Gaza, caused by an Israeli blockade, has forced several municipalities to suspend key services, such as waste collection and sewage treatment, threatening to exacerbate disease and suffering in the war-torn territory.

In a joint statement, the affected municipalities in central and southern Gaza said they have had to halt these services because of Israeli restrictions on the import of petrol and diesel into the coastal strip.

The statement, which was signed by the municipal authorities of Khan Younis and Rafah, among others, also said that equipment for clearing rubble could not be used due to fuel shortages, and that wells had been closed.

The authorities said their attempts to secure fuel through international organizations had proven unsuccessful.

Much of Gaza lies in ruins after over 21 months of Israeli attacks, with many Palestinians living in severely overcrowded conditions.

A group of seven UN organizations providing humanitarian aid in Gaza warned on Saturday of the catastrophic consequences of the impending fuel shortage.

""Without adequate fuel, Gaza faces a collapse of humanitarian efforts,"" said a statement issued by the organizations, which include the United Nations Relief and Works Agency for Palestine Refugees (UNRWA) and the World Health Organization.

In hospitals, the lights are already going out, maternity and intensive care units are failing and ambulances are no longer able to respond to calls, the organizations said.

They stressed that bakeries and community kitchens, which feed the sealed-off territory's starving population, also depend on fuel to operate, as do water treatment and sewage plants.

""These conditions expose families to deadly disease outbreaks and push Gaza's most vulnerable even closer to death,"" the statement said.

Israel has been waging a relentless war in Gaza against Hamas since the Palestinian Islamist group and its allies launched unprecedented attacks on southern Israel on October 7, 2023.

Israel controls all access to the Gaza Strip and has severely restricted the entry of humanitarian supplies, including fuel.

Israeli officials have repeatedly claimed that the minimum amounts of fuel required are reaching Gaza."
https://www.yahoo.com/news/recent-orleans-building-collapse-reignites-225902547.html,2025-07-15 01:00:00,Recent New Orleans building collapse reignites need for engineer,"NEW ORLEANS (WGNO) — Brick by brick, building collapses in New Orleans have become an all too regular occurrence.

Just last week, part of ahistoric buildingon St. Louis Street came crashing down.

“No one wants to see buildings collapse. Buildings collapse for lots of different reasons,” said Director of the Office of Community and Economic Development Jeffrey Schwartz.

New Orleans advocates push for bike safety following bicyclist’s death

City of New Orleans Chief Building Official Jay Dufour says the building was already being monitored by the owners.

“Trying to get them into restoring, their brick, and then it got to the point where on doing that, while they were doing it, they had you know, quite a lot of bricks fall down on the sidewalk,” said Dafour.

Collapses often result in street closures, something Councilwoman Lesli Harris says causes all sorts of other problems.

“It’s always an interruption of our city service is and luckily, nobody was injured when it happened. But I do mourn, as you said, the loss of Maypop and some other businesses that had to shutter because of this,” Harris said.

In January, the city council approved bringing in an engineer to help address building collapses. However, the job is still open six months later.

Orleans Parish Coroner’s Office autopsies paused citing air conditioning outage

Councilman Oliver Thomas believes that if a survey of the building is done it’ll show how vibration plays a part in the collapses.

“Perpetual potholes, when you have infrastructure that is so unstable. Your car has to roll over it or around it, you are creating a certain amount of vibration that permeates through the infrastructure to the buildings,” Thomas said.

Determined to find a solution, Harris says another approach is necessary to see that an engineer is hired.

“We’re going to have to take another look at that and see how much if we need to increase the RFP. If we can publicize this more widely, via social media and other means rather than what we do currently,” Harris said.

WGNO reached out to the city about the challenges of finding an engineer but has not heard back.

Stay up to date with the latest news, weather and sports by downloading the WGNO app on theAppleorGoogle Playstores and by subscribing to theWGNO newsletter.

Caitlin Clark to miss WNBA All-Star Game, 3-point contest: ‘Incredibly sad and disappointed’

Airfare by algorithm: Delta leans into AI pricing — but is it a good thing?

New Jersey teacher gifted scratch-offs wins $500,000: ‘Life-changing’

Man who sent ‘So I raped you’ Facebook message pleads guilty to 2013 sexual assault

LGBTQ+ mental health hotline shuts down

Copyright 2025 Nexstar Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

For the latest news, weather, sports, and streaming video, head to WGNO."
https://www.yahoo.com/news/russia-ukraine-trade-drone-strikes-152601840.html,2025-07-06 15:45:00,Russia and Ukraine trade drone strikes as Kyiv signs deals to boost drone production,"Russia and Ukraine struck each other with hundreds of drones on Sunday, throwing Russian air travel in disarray, shortly after Ukrainian President Volodymyr Zelenskyy announced deals with Western partners that would allow Kyiv to scale up drone production.

Photos circulating on social media showed crowds huddling at Russian airports including key international hubs in Moscow and St. Petersburg, as hundreds of flights were delayed or canceled due to Ukrainian drone strikes on Saturday and overnight, according to Russia’s Transport Ministry.

The flight disruptions hit Moscow’s Sheremetyevo and St. Petersburg’s main Pulkovo airports. Other airports in western and central Russia also faced disruptions.

Russian air defenses shot down 120 Ukrainian drones during the nighttime attacks, and 39 more before 2 p.m. Moscow time (1100 GMT) on Sunday, Russia’s Defense Ministry said. It did not clarify how many had hit targets, or how many had been launched in total.

Early on Sunday, Ukrainian drones injured two civilians in Russia’s Belgorod region near the border, its Gov. Vyacheslav Gladkov said.

Russia pounded Kyiv last week

The Ukrainian attacks came just days after Russia pummelled Kyiv with waves of drones and missiles overnight into Friday, in what Ukrainian officials called the largest such strike since Moscow’s all-out invasion. The seven-hour onslaught killed at least two civilians, wounded dozens more and caused widespread damage, Ukraine said, while Moscowramped up its pushto capture more of its neighbor’s land.

In total, Russia launched 550 drones and missiles across Ukraine that night, according to the country’s air force. The barrages have coincided with a concerted Russian effort to break through parts of the roughly 1,000-kilometer (620-mile) front line, where Ukrainian troops are under severe pressure.

Large-scale Russian drone strikes on Sunday injured three civilians in Kyiv and at least two in Kharkiv, Ukraine’s second-largest city in the northeast, officials said. A Russian attack involving Shahed drones also targeted port infrastructure in Mykolaiv in central Ukraine, according to local Gov. Vitaliy Kim. He reported warehouses and the port’s power grid were damaged but there were no casualties.

Hours later, Russia launched a glide bomb and a drone at the front-line town of Kostyantynivka in eastern Ukraine, killing four civilians and injuring a fifth, the prosecutor’s office said. The drone struck a car in which a married couple were travelling, killing the 39-year-old woman and 40-year-old man on the spot, it said.

Ukraine seeks to ramp up drone production

Zelenskyy said on Saturday that Ukraine had inked deals with European allies and a leading U.S. defense company to step up drone production, ensuring Kyiv receives “hundreds of thousands” more this year.

Zelenskyy did not name the U.S. business in his nightly video address to Ukrainians, but said Ukraine and Denmark have also agreed to co-produce drones and other weapons on Danish soil.

His remarks came days after the U.S.paused some shipments of military aidto Ukraine, including crucial air defense missiles. Ukraine’s main European backersare considering howthey can help pick up the slack. Zelenskyy said plans are afoot to build up Ukraine’s domestic arms industry, butscaling up will take time.

Ukraine has previously used homemade drones to hit high-value military targets deep inside Russia, demonstrating its capabilities and denting Moscow’s confidence. Last month,Kyiv said it destroyed more than 40 Russian planesstationed at several airfields deep inside Russia in a surprise attack.

Outmanned and outgunned, Ukraine’s army has also turned to drones to compensate for its troop shortage and shore up its defenses. While Russia hasramped up offensivesthis summer on two fronts in Ukraine, analysts say the front isn’t about to collapse.

On Friday, Zelenskyy said he had a “very important and productive” phone call that day with U.S.President Donald Trump, discussing possible joint drone production alongsideU.S-led efforts to end the war.

Speaking to reporters on Sunday, Trump described the call as “good”.

“He’s been hit very hard, as I said he would. He’s been hit very hard,” he said.

___

Michelle L. Price contributed to this report from Washington, DC.

Follow AP’s coverage of the war in Ukraine athttps://apnews.com/hub/russia-ukraine"
https://www.yahoo.com/news/east-texas-firefighters-deployed-help-010630940.html,2025-07-06 03:45:00,East Texas firefighters deployed to help central Texas flood victims,"TYLER, Texas (KETK) – As officials continue to try and help survivors of catastrophic flooding, several East Texas firefighters from Smith County and Lufkin have been deployed to assist in central Texas.

Here’s how to help flood survivors in Central Texas

Severe flooding has been reported in several counties in central Texas this weekend. In Kerr County, theKerr County Sheriff’s Officesaid 84 people have been found dead from the floods, including 56 adults and 28 children as of 2 p.m. on Monday.

The Longview Fire Department has deployed eight members from their Water Rescue Team as a part of the Texas A&M Task Force 1. The members have been in Kerrville since Friday and include one water group supervisor, one technical support specialist and a six person Swiftwater Rescue Team.

“Our members have been working in the Kerrville area since the early morning of July 4th. They were able to perform multiple rescues of people trapped in trees, vehicles and debris in some very difficult and dangerous conditions as a result of the catastrophic flooding,” the Longview Fire Department said. “They continue to work tirelessly alongside our many response partners from throughout the state and nation in support of Search and Rescue operations to locate those still missing.”

The Lufkin Fire Department deployed Engine 3 to Central Texas with captains Petty and Grace and firefighters Jernigan and Maskunas, as a part of theTIFMASprogram. The crew left just before 12 p.m. on Saturday in order to meet with other departments that are gathering together to form a strike team.

‘It was like a dam broke’: Kerr County flood survivors begin recovery process

On Friday, the Lufkin Fire Department also deployed Driver-Operator Byrum and Firefighter Barnes as a part of the Emergency Medical Task Force that’s assisting residents of central Texas.

Smith County Emergency Services District 2 said a member of their district was deployed to Llano on Friday to assist in search and rescue operations there. The district member was activated by the Texas State Operations Center as a part of the Texas A&M Task Force 2.

You can now stream KETK and FOX51 News live 24/7 on your smart TVwith KETK+,our brand-new app! No antenna, cable, or satellite needed—watch for free, anytime.Just download it on your Roku, Apple TV, or Fire TV and start streaming.

Copyright 2025 Nexstar Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

For the latest news, weather, sports, and streaming video, head to KETK.com | FOX51.com."
https://www.yahoo.com/news/lightning-interrupts-bridal-shoot-no-165656647.html,2025-07-04 17:30:00,Lightning Interrupts Bridal Shoot with 'No Warning' as Photographer and Her Son Felt 'Electricity' in Legs: 'Lucky to Be Alive',"Brianna Pendley Photography

A group taking photos ahead of a wedding wound up in a local hospital after their bridal shoot was interrupted by a surprise lightning storm

North Carolina photographer Brianna Pendley, her son, bride Katie McDaniel and a friend were at Carvers Gap on Roan Mountain on Tuesday, July 1, when the storm began

""We were huddled in a small circle kinda laughing at what had just happened, then within literal milliseconds we were on the ground screaming,"" Pendley wrote on Facebook

A North Carolina photographer, her son and a soon-to-be bride ended up in the hospital after their bridal shoot was interrupted by a surprise lightning storm this week.

On Tuesday, July 1, Brianna Pendley was taking bridal photos for Katie McDaniel ahead of her wedding this month, when a thunderstorm quickly broke out at Carvers Gap on Roan Mountain, near the Tennessee border.

Pendley, who was joined by her young son Landry and a friend during the shoot, wrote onFacebookthat the group decided to head back down once they spotted rain, before it started ""violently hailing."" While in ""full-survival mode,"" the group opted to take shelter under trees.

Brianna Pendley Photography

Both Pendley and McDaniel also detailed the ordeal to NBC affiliateWCNCand ABC affiliateWSOC.

""We were huddled in a small circle kinda laughing at what had just happened, then within literal milliseconds we were on the ground screaming because lightning had struck the tree/ground that we were under,"" the photographer wrote on Facebook. ""I felt the electricity in my feet and legs, and saw smoke coming from the ground so I knew it wasn’t good.""

Never miss a story — sign up forPEOPLE's free daily newsletterto stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories.

After seeing her son ""laid over to one side,"" the photographer and the rest of the group ran down the mountain ""covered in dirt,"" she revealed. ""Once the initial strike happened and we immediately fell to the ground, my first instinct was we got to get out of there,"" McDaniel told WCNC. ""I thought the tree was going to fall when the lightning struck it. I heard the cracking.""

Brianna Pendley Photography

""It was so quick that we literally went from standing to on the ground in the middle of a second,"" Pendley, who recalled seeing a ""very loud"" flash and ""smoke"" coming from the ground, added. ""If it would have killed us, we probably wouldn't know what happened.""

On the way down, the women and boy encountered another group on the mountain who said they ""heard the crying and screaming and were concerned,"" Pendley wrote on Facebook. During their visit to the hospital, the women and the child were told they were ""lucky to be alive because something like this normally ends in less fortunate outcomes.""

Both McDaniel and Landry sustained welts from the strike but the group was ""overall"" OK, Pendley wrote.

Pendley told WSOC that there was “no warning"" and ""no thunder"" ahead of the sudden storm. “It’s so unpredictable,” she said. “It happened like that. The storm was over in five minutes, and I don’t know if I’m going to be much of a hiker after that.”

As WCNC notes, citing the the National Lightning Safety Council, North Carolina was ranked among the top five states in terms of lightning-related deaths between 2015 and 2024.

Sjo/Getty

The National Weather Serviceencourages those outside without access to shelter amid lightning to ""immediately get off elevated areas such as hills, mountain ridges or peaks"" and ""never shelter under an isolated tree.""

""Long story short, I won’t be trusting the weather anymore and Landry says he’s never going outside again 🥲,"" the photographer wrote on Facebook, calling it ""a beautiful bridal session turned into a long night in the hospital.""

""We are so thankful that God kept all of us safe! Trauma bonded for life and still trying to process what happened, but alive 🥴""

Read the original article onPeople"
https://www.yahoo.com/news/ending-imperial-judiciary-104255855.html,2025-07-04 13:00:00,Ending the Imperial Judiciary,"On Friday, the Supreme Court delivered a powerful message: The job of the judiciary is to apply the Constitution and laws enacted by the peoples representatives, not to implement a judges political agenda. In delivering this message, Supreme Court Justice Amy Coney Barrett humiliated ideologue Ketanji Brown Jackson, who declined to engage in legal analysis, because it was (as Jackson put it)""mind-numbingly technical.""

In decision after decision this term, the court restored jurisprudential principles to the judiciarys mission, culminating in repeated rebukes of progressive judges who use the Constitution and federal law as props to advance their political agendas. The era of liberal activist judges that began with Earl Warrens ascension to chief justice in 1953 has officially ended.

The re-emergence of the Constitution began when the court eschewed ""penumbras"" emanating from the Constitution hallucinated by Justice William O. Douglas inRoe v. Wade, returning abortion decisions to the states. Then, aunanimouscourt stopped Democrats from protecting democracy by depriving voters of the opportunity to vote for Trump. Ending the Biden administrations lawfare, a split court next explained that because the powers of the executive branch are vested in just one person, the president must have immunity to utilize the powers of the office. In other words, the courts are not the presidents boss.

Since January, activist Democrat-appointed judges committed to preserving radical left policies have repeatedly enjoined Trumps orders. Even liberal appeals courts have begun to stay or reverse the most egregious abuses involving tariffs, immigration, and government layoffs.

Last week, after U.S. District Court Judge Charles Breyer enjoined Trump from federalizing the California National Guard because he disagreed with Trumps prescription for quelling the violence caused by anti-ICE rioters, a three-judge panel of the Ninth Circuit unanimouslyreversed. The panel rejected Breyers right to decide the law, facts, and policy, and reminded him (and 111 other district court judges in the Ninth Circuit) that on matters related to the National Guard, the presidents judgment stands unless it is so extreme as to be dishonest.

During the first 20 weeks of Trumps second term, the administration filed 19 emergency applications to the Supreme Court to stop district court judges who substituted their policy judgments for the presidents. In almost all cases, the administration prevailed, at least pending a complete judicial review, preserving its right to deport illegal aliens; permitting DOGE to review government spending and recommend cuts; disqualifying transgender people from military service; and allowing cuts to ideologically driven federal grants.

On its regular calendar, the Supreme Courtunanimously:held that straight white people have the same rights to be protected from discrimination under Title VII of the Civil Rights Act of 1964 as do so-called marginalized minorities; protected a Catholic charity threatened with loss of its tax exemption by Wisconsin for offering services to non-Catholics; and dismissed the Mexican governments effort to sue U.S. gun manufacturers for drug cartel violence.

Friday alone, the court ruled that the American judiciary is required to consider only the ""cases and controversies"" before it, and may not order nationwide injunctions; agreed parents may withdraw their children from classes that indoctrinate them in trans ideology; held that Texas may bar minors from viewing internet pornography; and strengthened Trumps powers to impose tariffs by reaffirming, in an unrelated case, that Congress can delegate power to executive agencies if it lays out the general policy, principles and boundaries.

InMahmoud v. Taylor, Justice Sonia Sotomayor argued that indoctrinating children in trans ideology is ""critical to our Nations civic vitality"" and overrides the First Amendment right to religious freedom. Writing for the majority, Justice Samuel Alito blasted her ""deliberately blinkered view"" that the purpose of the program at issue was to teach kindness, adding that Sotomayor ""ignores what anyone who reads these books can readily see"" - that the purpose is to advocate the use of pronouns and choice of gender as ""values and beliefs"" to be ""celebrated"" and contrary values and beliefs to be ""rejected.""

InTrump v. CASA, Inc., a case the administration may ultimately lose involving Trumps authority to end birthright citizenship, the majority held that federal courts do not have the power to grant nationwide injunctions that go beyond the specific parties and issues before them to block administration orders.

The liberal justices dissented, complaining that the limitation would allow Trump too much leeway. Apparently tired of Jacksons substituting politics for legal analysis, in her majority opinion, Barrett excoriated Jacksons dissent for being untethered to any legal doctrine, dismissively declaiming: ""We will not dwell on Justice Jacksons argument, which is at odds with more than two centuries worth of precedent, not to mention the Constitution itself. We observe only this: Justice Jackson decries an imperial Executive while embracing an imperial Judiciary.""

When Supreme Court justices and even the Ninth Circuit use strong language to rein in activist judges, the end of the imperial judiciary is nigh.

Kenin M. Spivak is founder and chairman of SMI Group LLC, an international consulting firm and investment bank. He is the author of fiction and non-fiction books and a frequent speaker and contributor to media, including The American Mind, National Review, the National Association of Scholars, television, radio, and podcasts."
https://www.yahoo.com/news/stray-dogs-hid-metro-alongside-085440248.html,2025-07-04 10:15:00,Stray dogs hid in metro alongside people during Russian nighttime attack on Kyiv – photos,"When the Russians launched a large-scaleattackon Kyiv on the night of 3-4 July, not only people but also local street dogs took shelter in the Teremky metro station.

Source:the animal welfare organisationUAnimals

Details:""During tonight's attack, a local dog was also in the shelter with everyone else. No one chased the dog away; on the contrary, everyone greeted it with smiles and understanding,"" wrote user Zhenia (@sntsv__art) on Threads.

Photo: UA ANIMALs on Facebook

Photo: UA ANIMALs on Facebook

Volunteers urged people to always go down to shelter during air-raid warnings and allow stray animals to wait out the attack there, too.

""We advise you to prepare an emergency bag for your cats or dogs in advance. Pack some dry food, water in a special bottle with a drinking container, and your pet's favourite toy. Take any medication your pet may need,"" UAnimals said.

Background:

From the evening of 3 July and throughout the night of 3-4 July, the Russianscarried outa large-scale strike with drones and ballistic missiles on the city of Kyiv and Kyiv Oblast, as well as the cities of Dnipro, Sumy, Kharkiv and Chernihiv. The main target of the strike was the capital.

Fires and damage to residential buildings were reported in six districts of the capital. As of the morning of 4 July,23 people were known to have been injured. Among them was a 10-year-old girl.

Support Ukrainska Pravda onPatreon!"
https://www.yahoo.com/news/mcso-boost-patrols-ontario-beach-214023666.html,2025-07-04 00:30:00,MCSO to boost patrols at Ontario Beach Park for 4th of July weekend,"CHARLOTTE, N.Y. (WROC) – Ahead of the holiday weekend, local law enforcement personnel are giving an update on security at Ontario Beach Park following an uptick in crime over recent months.

Whether it’s a cookout with family or a day spent at the beach, MCSO wants to remind visitors they will be out over the weekend in big numbers.

“Expect to see increased patrols and expect to see high visibility officers and deputies working together up there to make sure everyone can have a fun and safe holiday weekend,” said Deputy Brendan Hurley with MCSO.

Over the last few years, MCSO has been able to boost patrols for holidays like the 4th of July, with progress made in recruitment and reinforcement from surrounding agencies.

“We’ve been fortunate over the last couple years to be able to bolster our patrols. We’ve gotten about 50 more road patrol deputies. That hadn’t increased in several years. For us, it’s mostly about prevention. We don’t wait to wait until there is a problem,” said Deputy Hurley.

Business owners like John Kabrovski of Tropix Nightclub have previously shared concerns with News 8 over a spike in violence in Charlotte’s main district. While the area has seen improvements, he says it’s still affecting local business.

“I think what’s happened in the last few weeks and months down here has scared people. People have made their plans to go somewhere else. We’ve got to get the word out that Charlotte is a safe place to be and that the police presence is enormous. They’re here to patrol. They’re not here to give anyone a tough time. They’re here to keep the violence down and keep the trouble away,” said Kabrovski.

Various Charlotte businesses, including Tropix, will be closed on the 4th of July but plan to reopen Saturday. The change, he says, has taken effect in recent years. Ontario Beach Park will be open, and MCSO reminds the public if you see something to say something, and call 911 in the event of any emergency.

Copyright 2025 Nexstar Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

For the latest news, weather, sports, and streaming video, head to RochesterFirst."
https://www.yahoo.com/news/least-3-killed-explosion-l-153848315.html,2025-07-18 23:00:00,3 L.A. County sheriff's deputies killed in explosion ID'd; investigators search Santa Monica apartment,"Three deputies were killed Friday in an explosion at the Los Angeles County Sheriff's Department's Biscailuz Center Training Academy in East L.A., the deadliest incident for the agency in more than 160 years.

Deputies with the arson explosives detail, an elite unit within the Sheriff's Department, were moving ordnance in the training center's parking lot about 7:30 a.m. when the blast occurred.

The deputies were identified Friday evening as Dets. Joshua Kelley-Eklund, Victor Lemus and William Osborn. They had served 19, 22 and 33 years with the department, respectively, authorities said.

The Sheriff's Department is currently investigating an apartment complex in the 800 block of Bay Street in Santa Monica in connection with the explosion, according to department spokesperson Nicole Nishida. The three deputies killed in the blast responded to a call to assist the Santa Monica Police Department at the complex on Thursday.

The explosion is being investigated as a negligent homicide, which could result in charges against the person who made or stored the device, law enforcement sources told The Times.

The Santa Monica Police Department evacuated residents from the Bay Street apartment building Friday afternoon, while authorities continue to search the location for any additional explosive material, Nishida said. The FBI and Los Angeles Police Department's bomb squad are assisting with the investigation. The Bureau of Alcohol, Tobacco, Firearms and Explosives is expected to lead a federal probe into the cause of the explosion.

""They're the best of the best,"" Sheriff Robert Luna said of the agency's special enforcement bureau. ""And the individuals who work our arson explosives detail, they have years of training. ... They are fantastic experts, and unfortunately, I lost three of them today.”

He said it will take time — possibly weeks or months — to investigate the incident.

Osborn, who joined the Sheriff's Department in 1992, was described as“one of [the] tenured bomb technicians regularly relied upon when faced with a new challenge"" in a department news release. He is survived by his wife, Det. Shannon Rincon, four sons and two daughters.

Kelley-Eklund joined the Sheriff's Department in 2006 and leaves behind his wife, Jessica Eklund, and their seven children. Prior to joining the arson explosives detail, he worked as a narcotics and murder investigator as well as a field training officer who mentored new deputies.

Lemus comes from a family of Sheriff's Department employees, including his wife, Det. Nancy Lemus; sisters Sgt. Belen Lemus, Deputy Perla Lemus and Custody Asst. Wendy Lemus; and brother-in-law Sgt. Robert Catalan. He joined the department in 2003 and was known for his ability to train fellow deputies and notable arrests involving career criminals. He leaves behind three daughters.

A grenade was recovered at the Santa Monica apartment complex Thursday, a city police officer told The Times.

Michael Kellman, who lives in the building, told The Times that a fellow tenant called the police Thursday after discovering a bag of grenades tucked away in her storage unit.

She has been living in the building for several years and believes the bag was left behind by the former occupant, he said. Authorities returned to her unit Friday to scour the apartment for any remaining explosives.

The bomb squad picks up potential explosives across the region on a daily basis, but it's a situation that's always fraught with danger because it's hard to assess the stability of materials and their age, law enforcement sources told The Times.

After the explosion, the LAPD's bomb squad responded to the scene to help render any other potential explosive materials safe. It took authorities several hours to complete the process, Luna said.

Employees told The Times they heard a massive boom around 7:30 a.m. coming from the parking lot where the sheriff's bomb squad keeps its vehicles. They heard glass shattering and screaming.

Rich Pippin, president of the Assn. for Los Angeles Deputy Sheriffs, called it the ""worst day in the history of the Los Angeles County Sheriff's Department.""

""You never get up in the morning expecting this kind of news, never, and sadly, as often as we deal with this, it does not get easier,"" he said. ""It never gets easier. It hurts.""

Hundreds of people gathered in the street outside the East L.A. training center Friday evening for a procession to honor the fallen officers.

Three coffins draped with American flags were loaded into trucks to be transported to the L.A. County Medical Examiner around 5 p.m. A massive American flag was hoisted between two fire truck ladders for the procession to pass through, while scores of law enforcement members somberly watched.

In radio communications reviewed by The Times, a sheriff's dispatcher told units that there was an ""explosion with three down."" She later advised that a sheriff's weapons team leader said investigators should ""not approach"" the scene.

In the aftermath, officials covered the blast area with a large tarp as they collected evidence and worked to render the device safe. About 25 yards from the facility, glass was scattered across the parking lot from the windows of an SUV cruiser that were blown out by the explosion. A sheriff's helicopter circled over the area as multiple emergency vehicles streamed into the facility.

At one point, video from the scene showed a bomb technician in a blast suit approaching the site and removing some material before returning to the area where investigators were gathering evidence.

Ed Nordskog, a former member of the department’s arson explosives detail and a 34-year department veteran, said the agency's bomb and arson unit is one of the largest and busiest in the United States. The squad gets daily calls to handle military ordnance that spans from the modern era back to World War I, as well as commercial explosives, blasting dynamite from mining operations, suspicious packages and homemade or improvised items.

""All have different aspects that are dangerous,"" he said. ""It’s a job that requires at least a year of formal training to be able to work, and several years of field experience to feel fully proficient.""

Former L.A. County Sheriff Alex Villanueva told KTLA-TV Channel 5 in an interview that the arson explosives detail includes some of the agency's most experienced personnel.

""The loss is just staggering,"" he said. ""It's gonna take a while to figure out how this happened, why this happened, could it have been prevented.""

The explosion and resulting deaths sent shock waves across Los Angeles County and prompted many unanswered questions. Flags at county buildings were lowered to half-staff in mourning.

Two of the deputies who were killed were sometimes assigned to provide security at county board meetings in downtown Los Angeles, according to officials.

L.A. County Supervisor Kathryn Barger said she was ""heartbroken"" by the situation and that the entire county is grieving for the deputies and their families.

""These deputies went to work expecting to come home and they didn't,"" Barger said. ""I hope the takeaway is that we should all remember to have compassion and empathy and give law enforcement a break.""

Jason Zabala, who works for the Sheriff's Department's SWAT team and was a colleague and friend of the deputies who died Friday, echoed Luna's comments that they were the ""best of the best."" He was in shock, he said, his voice breaking as he talked about his friends.

""I can think of no greater honor, truly, than to die in the service of people,"" he said. ""That's why we sign up, and it's tragic, but I'm sure their families are proud of their service, as I am.""

The dangers of the profession aren't lost on those who wear the uniform or their families, Zabala said, but it doesn't keep them from doing their jobs.

""You do this job for a reason. You don't really think about it day to day, until something like this happens, and then you realize how dangerous it really is,"" he said. ""I know our families go through that. I know my family goes through that probably every day. But we truly love the work we do.""

Tony Meraz, a veteran sheriff's deputy who knew all three of the men killed in the explosion, said their deaths leave a void in the hearts of their friends, families and the department that will never be filled.

""All three of these men are the kind of cops that if your loved one calls 911, you want them to show up, whether it is an active shooter, a traffic collision or because your mom is lost,"" Meraz said. ""They are all gone in the blink of an eye.""

California Gov. Gavin Newsom's office said on X that he had been briefed on the explosion, and the state deployed investigative personnel from the Office of the State Fire Marshal to help determine what happened.

U.S. Atty. Gen. Pam Bondi called the situation a ""horrific incident"" in a statement Friday and asked for prayers for the deputies' families.

The Biscailuz Center Training Academy was used for deputy training from 1946 to 1984, when it was closed because of a lack of space. The 36,000-square-foot training center was renovated and reopened in 2017. The facility houses the sheriff’s special enforcement bureau and the arson explosive detail, including the bomb squad.

The explosion drew several spectators to the edge of a perimeter erected by deputies as they continued their investigation.

Luisa Lopez, an employee at Medsco, a sheet metal fabrication facility, said their machines had obscured the sound of the blast, but she became aware of the accident when authorities began racing toward the facility.

“When we heard all the noise of the police, we didn’t think anything of it because they pass [by] all the time,"" she said.

Richard Montoya, who lives about a quarter of a mile from the blast area, said he and his children were jolted by three successive explosions that shook his house. At first he thought the explosion might have been fireworks, which are common in the neighborhood after the Fourth of July.

But he said he realized it wasn't fireworks because it felt stronger, like a small earthquake.

Sign up for Essential California for news, features and recommendations from the L.A. Times and beyond in your inbox six days a week.

This story originally appeared inLos Angeles Times."
